amount,category,date,name,newBalance,previousBalance,reference,timeDiff,dayOfWeek
39,N/A,N/A,N/A,931,970,N/A,3,5
36,N/A,N/A,N/A,895,931,N/A,9,5
12,N/A,N/A,N/A,883,895,N/A,12,2
8,N/A,N/A,N/A,875,883,N/A,17,1
43,N/A,N/A,N/A,832,875,N/A,22,6
6,N/A,N/A,N/A,826,832,N/A,28,0
30,N/A,N/A,N/A,796,826,N/A,32,4
14,N/A,N/A,N/A,782,796,N/A,36,2
16,N/A,N/A,N/A,766,782,N/A,42,2
43,N/A,N/A,N/A,723,766,N/A,46,6
28,N/A,N/A,N/A,695,723,N/A,50,4
10,N/A,N/A,N/A,685,695,N/A,53,1
34,N/A,N/A,N/A,651,685,N/A,57,5
33,N/A,N/A,N/A,618,651,N/A,63,5
19,N/A,N/A,N/A,599,618,N/A,67,3
21,N/A,N/A,N/A,578,599,N/A,73,3
13,N/A,N/A,N/A,565,578,N/A,77,1
38,N/A,N/A,N/A,527,565,N/A,81,5
10,N/A,N/A,N/A,517,527,N/A,84,2
38,N/A,N/A,N/A,479,517,N/A,87,5
32,N/A,N/A,N/A,447,479,N/A,92,4
19,N/A,N/A,N/A,428,447,N/A,97,3
17,N/A,N/A,N/A,411,428,N/A,102,2
39,N/A,N/A,N/A,372,411,N/A,105,5
22,N/A,N/A,N/A,350,372,N/A,110,4
9,N/A,N/A,N/A,341,350,N/A,113,1
36,N/A,N/A,N/A,305,341,N/A,117,5
21,N/A,N/A,N/A,284,305,N/A,121,3
8,N/A,N/A,N/A,276,284,N/A,125,1
7,N/A,N/A,N/A,269,276,N/A,131,1
9,N/A,N/A,N/A,1144,1153,N/A,3,1
26,N/A,N/A,N/A,1118,1144,N/A,6,4
13,N/A,N/A,N/A,1105,1118,N/A,10,2
41,N/A,N/A,N/A,1064,1105,N/A,14,6
28,N/A,N/A,N/A,1036,1064,N/A,18,4
14,N/A,N/A,N/A,1022,1036,N/A,22,2
13,N/A,N/A,N/A,1009,1022,N/A,28,2
12,N/A,N/A,N/A,997,1009,N/A,33,1
41,N/A,N/A,N/A,956,997,N/A,38,6
9,N/A,N/A,N/A,947,956,N/A,44,0
25,N/A,N/A,N/A,922,947,N/A,48,4
12,N/A,N/A,N/A,910,922,N/A,52,2
37,N/A,N/A,N/A,873,910,N/A,55,5
35,N/A,N/A,N/A,838,873,N/A,61,5
13,N/A,N/A,N/A,825,838,N/A,64,2
11,N/A,N/A,N/A,814,825,N/A,70,2
42,N/A,N/A,N/A,772,814,N/A,74,6
16,N/A,N/A,N/A,756,772,N/A,77,3
7,N/A,N/A,N/A,749,756,N/A,81,1
12,N/A,N/A,N/A,737,749,N/A,87,1
25,N/A,N/A,N/A,712,737,N/A,90,4
14,N/A,N/A,N/A,698,712,N/A,93,1
35,N/A,N/A,N/A,663,698,N/A,97,5
34,N/A,N/A,N/A,629,663,N/A,103,5
15,N/A,N/A,N/A,614,629,N/A,106,2
43,N/A,N/A,N/A,571,614,N/A,110,6
21,N/A,N/A,N/A,550,571,N/A,113,3
16,N/A,N/A,N/A,534,550,N/A,118,2
8,N/A,N/A,N/A,526,534,N/A,123,1
8,N/A,N/A,N/A,518,526,N/A,129,1
27,N/A,N/A,N/A,1342,1369,N/A,4,4
