amount,category,date,name,newBalance,previousBalance,reference,timeDiff,dayOfWeek
7,N/A,N/A,N/A,560,567,N/A,4,2
7,N/A,N/A,N/A,553,560,N/A,9,1
29,N/A,N/A,N/A,524,553,N/A,14,6
25,N/A,N/A,N/A,499,524,N/A,18,4
8,N/A,N/A,N/A,491,499,N/A,22,2
31,N/A,N/A,N/A,460,491,N/A,26,6
49,N/A,N/A,N/A,411,460,N/A,31,5
7,N/A,N/A,N/A,404,411,N/A,34,2
9,N/A,N/A,N/A,395,404,N/A,40,2
8,N/A,N/A,N/A,387,395,N/A,45,1
36,N/A,N/A,N/A,351,387,N/A,49,5
8,N/A,N/A,N/A,343,351,N/A,53,3
10,N/A,N/A,N/A,333,343,N/A,59,3
32,N/A,N/A,N/A,301,333,N/A,62,6
27,N/A,N/A,N/A,274,301,N/A,67,5
48,N/A,N/A,N/A,226,274,N/A,73,5
9,N/A,N/A,N/A,217,226,N/A,77,3
6,N/A,N/A,N/A,211,217,N/A,81,1
25,N/A,N/A,N/A,186,211,N/A,84,4
20,N/A,N/A,N/A,166,186,N/A,90,4
27,N/A,N/A,N/A,139,166,N/A,96,4
6,N/A,N/A,N/A,133,139,N/A,99,1
23,N/A,N/A,N/A,110,133,N/A,102,4
9,N/A,N/A,N/A,101,110,N/A,106,2
11,N/A,N/A,N/A,90,101,N/A,112,2
8,N/A,N/A,N/A,82,90,N/A,118,2
36,N/A,N/A,N/A,46,82,N/A,121,5
8,N/A,N/A,N/A,38,46,N/A,124,2
47,N/A,N/A,N/A,-9,38,N/A,127,5
23,N/A,N/A,N/A,518,541,N/A,3,4
9,N/A,N/A,N/A,509,518,N/A,8,3
42,N/A,N/A,N/A,467,509,N/A,11,6
21,N/A,N/A,N/A,446,467,N/A,15,4
7,N/A,N/A,N/A,439,446,N/A,20,3
8,N/A,N/A,N/A,431,439,N/A,24,1
23,N/A,N/A,N/A,408,431,N/A,27,4
9,N/A,N/A,N/A,399,408,N/A,30,1
14,N/A,N/A,N/A,385,399,N/A,33,4
25,N/A,N/A,N/A,360,385,N/A,39,4
7,N/A,N/A,N/A,353,360,N/A,43,2
