amount,category,date,name,newBalance,previousBalance,reference,timeDiff,dayOfWeek
3049,N/A,N/A,N/A,-1185,1864,N/A,120,0
3011,N/A,N/A,N/A,-1173,1838,N/A,119,2
3091,N/A,N/A,N/A,-1105,1986,N/A,118,1
3050,N/A,N/A,N/A,-2347,703,N/A,106,2
3050,N/A,N/A,N/A,-2617,433,N/A,109,5
3064,N/A,N/A,N/A,-1097,1967,N/A,118,4
3109,N/A,N/A,N/A,-2040,1069,N/A,124,2
3041,N/A,N/A,N/A,-2595,446,N/A,121,3
3122,N/A,N/A,N/A,-2098,1024,N/A,110,5
3124,N/A,N/A,N/A,-1836,1288,N/A,127,5
3049,N/A,N/A,N/A,-1582,1467,N/A,101,4
3045,N/A,N/A,N/A,-2628,417,N/A,127,1
3109,N/A,N/A,N/A,-2550,559,N/A,129,0
3011,N/A,N/A,N/A,-1818,1193,N/A,122,0
3091,N/A,N/A,N/A,-1924,1167,N/A,118,2
3125,N/A,N/A,N/A,-1799,1326,N/A,113,2
3098,N/A,N/A,N/A,-2106,992,N/A,102,1
3074,N/A,N/A,N/A,-2620,454,N/A,118,1
3041,N/A,N/A,N/A,-1197,1844,N/A,109,3
3084,N/A,N/A,N/A,-1991,1093,N/A,125,4
3048,N/A,N/A,N/A,-1816,1232,N/A,122,1
3029,N/A,N/A,N/A,-1109,1920,N/A,111,5
3148,N/A,N/A,N/A,-2476,672,N/A,115,4
3146,N/A,N/A,N/A,-2179,967,N/A,113,5
3136,N/A,N/A,N/A,-1601,1535,N/A,128,1
3036,N/A,N/A,N/A,-2427,609,N/A,119,1
3016,N/A,N/A,N/A,-2022,994,N/A,107,1
3146,N/A,N/A,N/A,-1262,1884,N/A,102,0
3025,N/A,N/A,N/A,-1557,1468,N/A,114,2
3054,N/A,N/A,N/A,-2177,877,N/A,112,3
3113,N/A,N/A,N/A,-2471,642,N/A,104,3
3033,N/A,N/A,N/A,-1567,1466,N/A,105,4
3039,N/A,N/A,N/A,-1794,1245,N/A,100,1
3139,N/A,N/A,N/A,-1296,1843,N/A,104,1
3124,N/A,N/A,N/A,-2522,602,N/A,105,1
3075,N/A,N/A,N/A,-1658,1417,N/A,109,1
3103,N/A,N/A,N/A,-2297,806,N/A,100,1
3056,N/A,N/A,N/A,-2191,865,N/A,119,1
3113,N/A,N/A,N/A,-2361,752,N/A,122,4
3100,N/A,N/A,N/A,-1155,1945,N/A,113,0
3102,N/A,N/A,N/A,-1391,1711,N/A,100,2
3036,N/A,N/A,N/A,-2545,491,N/A,108,2
3094,N/A,N/A,N/A,-1670,1424,N/A,129,1
3147,N/A,N/A,N/A,-1316,1831,N/A,127,0
3077,N/A,N/A,N/A,-1736,1341,N/A,118,0
3102,N/A,N/A,N/A,-2758,344,N/A,100,4
3048,N/A,N/A,N/A,-2603,445,N/A,111,5
3106,N/A,N/A,N/A,-2296,810,N/A,118,5
3041,N/A,N/A,N/A,-1337,1704,N/A,119,3
3037,N/A,N/A,N/A,-2005,1032,N/A,122,1
3037,N/A,N/A,N/A,-2637,400,N/A,125,5
3057,N/A,N/A,N/A,-2164,893,N/A,128,0
3071,N/A,N/A,N/A,-1914,1157,N/A,126,4
3070,N/A,N/A,N/A,-1250,1820,N/A,104,5
3021,N/A,N/A,N/A,-2698,323,N/A,127,3
3128,N/A,N/A,N/A,-1380,1748,N/A,128,2
3101,N/A,N/A,N/A,-2455,646,N/A,115,0
3107,N/A,N/A,N/A,-1173,1934,N/A,100,0
3134,N/A,N/A,N/A,-2096,1038,N/A,112,4
3030,N/A,N/A,N/A,-2228,802,N/A,101,2
3146,N/A,N/A,N/A,-2772,374,N/A,122,5
3082,N/A,N/A,N/A,-1769,1313,N/A,124,3
3063,N/A,N/A,N/A,-1351,1712,N/A,118,5
3116,N/A,N/A,N/A,-2095,1021,N/A,120,2
3130,N/A,N/A,N/A,-2813,317,N/A,117,5
3102,N/A,N/A,N/A,-2423,679,N/A,125,5
3080,N/A,N/A,N/A,-2158,922,N/A,111,3
3100,N/A,N/A,N/A,-2293,807,N/A,125,0
3038,N/A,N/A,N/A,-1740,1298,N/A,114,0
3070,N/A,N/A,N/A,-2609,461,N/A,109,2
3076,N/A,N/A,N/A,-1487,1589,N/A,122,5
3139,N/A,N/A,N/A,-2532,607,N/A,123,2
3062,N/A,N/A,N/A,-2234,828,N/A,109,1
3007,N/A,N/A,N/A,-2233,774,N/A,112,3
3041,N/A,N/A,N/A,-1474,1567,N/A,102,4
3131,N/A,N/A,N/A,-1856,1275,N/A,112,3
3102,N/A,N/A,N/A,-2622,480,N/A,100,0
3138,N/A,N/A,N/A,-2528,610,N/A,106,2
3087,N/A,N/A,N/A,-1245,1842,N/A,123,5
3143,N/A,N/A,N/A,-2579,564,N/A,105,4
3123,N/A,N/A,N/A,-1479,1644,N/A,102,3
3003,N/A,N/A,N/A,-2672,331,N/A,110,4
3141,N/A,N/A,N/A,-1539,1602,N/A,105,2
3082,N/A,N/A,N/A,-1392,1690,N/A,100,1
3056,N/A,N/A,N/A,-2512,544,N/A,121,5
3084,N/A,N/A,N/A,-2042,1042,N/A,100,3
3105,N/A,N/A,N/A,-2047,1058,N/A,103,3
3035,N/A,N/A,N/A,-1572,1463,N/A,113,1
3011,N/A,N/A,N/A,-2169,842,N/A,100,5
3030,N/A,N/A,N/A,-1511,1519,N/A,109,4
3057,N/A,N/A,N/A,-2425,632,N/A,112,1
3104,N/A,N/A,N/A,-1306,1798,N/A,121,0
3012,N/A,N/A,N/A,-2620,392,N/A,128,0
3046,N/A,N/A,N/A,-1402,1644,N/A,115,3
3067,N/A,N/A,N/A,-2549,518,N/A,121,1
3084,N/A,N/A,N/A,-2095,989,N/A,102,3
3098,N/A,N/A,N/A,-1809,1289,N/A,118,3
3004,N/A,N/A,N/A,-2532,472,N/A,116,2
3087,N/A,N/A,N/A,-1867,1220,N/A,101,0
3136,N/A,N/A,N/A,-2799,337,N/A,122,1
3107,N/A,N/A,N/A,-1224,1883,N/A,116,2
3091,N/A,N/A,N/A,-1689,1402,N/A,114,0
3001,N/A,N/A,N/A,-2360,641,N/A,117,4
3009,N/A,N/A,N/A,-2564,445,N/A,119,2
3088,N/A,N/A,N/A,-2708,380,N/A,113,4
3145,N/A,N/A,N/A,-2352,793,N/A,118,1
3058,N/A,N/A,N/A,-1896,1162,N/A,124,3
3040,N/A,N/A,N/A,-1556,1484,N/A,126,2
3031,N/A,N/A,N/A,-1843,1188,N/A,129,3
3071,N/A,N/A,N/A,-2041,1030,N/A,106,4
3088,N/A,N/A,N/A,-1090,1998,N/A,129,4
3072,N/A,N/A,N/A,-1341,1731,N/A,116,2
3142,N/A,N/A,N/A,-2035,1107,N/A,117,5
3107,N/A,N/A,N/A,-1275,1832,N/A,117,0
3063,N/A,N/A,N/A,-1373,1690,N/A,117,1
3105,N/A,N/A,N/A,-1377,1728,N/A,101,5
3057,N/A,N/A,N/A,-1734,1323,N/A,127,1
3125,N/A,N/A,N/A,-2334,791,N/A,122,0
3066,N/A,N/A,N/A,-1688,1378,N/A,121,1
3008,N/A,N/A,N/A,-2109,899,N/A,123,2
3053,N/A,N/A,N/A,-1122,1931,N/A,126,5
3121,N/A,N/A,N/A,-2540,581,N/A,107,4
3024,N/A,N/A,N/A,-1457,1567,N/A,108,2
3028,N/A,N/A,N/A,-1249,1779,N/A,121,1
3148,N/A,N/A,N/A,-1370,1778,N/A,116,3
3065,N/A,N/A,N/A,-1232,1833,N/A,112,0
3081,N/A,N/A,N/A,-2199,882,N/A,119,3
3094,N/A,N/A,N/A,-2522,572,N/A,117,4
3042,N/A,N/A,N/A,-1643,1399,N/A,114,0
3093,N/A,N/A,N/A,-1430,1663,N/A,101,1
3118,N/A,N/A,N/A,-1246,1872,N/A,122,1
3022,N/A,N/A,N/A,-1435,1587,N/A,101,0
3132,N/A,N/A,N/A,-1384,1748,N/A,104,5
3129,N/A,N/A,N/A,-1546,1583,N/A,117,5
3034,N/A,N/A,N/A,-2472,562,N/A,104,2
3016,N/A,N/A,N/A,-1457,1559,N/A,125,1
3098,N/A,N/A,N/A,-1789,1309,N/A,111,2
3107,N/A,N/A,N/A,-2468,639,N/A,106,4
3046,N/A,N/A,N/A,-1150,1896,N/A,100,0
3065,N/A,N/A,N/A,-1332,1733,N/A,116,0
